iter	Passed	Remaining
0	1	181
1	3	190
2	6	216
3	8	200
4	12	234
5	13	218
6	15	204
7	16	192
8	18	184
9	19	176
10	21	170
11	22	164
12	24	162
13	26	161
14	28	159
15	29	154
16	30	150
17	31	145
18	33	141
19	34	137
20	35	133
21	36	129
22	37	125
23	40	127
24	41	124
25	42	122
26	44	119
27	45	115
28	46	112
29	46	109
30	47	106
31	48	103
32	49	100
33	50	98
34	51	95
35	54	96
36	55	94
37	56	92
38	57	89
39	58	87
40	59	86
41	60	83
42	62	82
43	63	80
44	64	78
45	65	76
46	66	74
47	67	73
48	68	71
49	69	69
50	70	68
51	71	66
52	72	64
53	73	62
54	74	61
55	75	59
56	76	57
57	77	56
58	78	54
59	79	53
60	80	51
61	81	50
62	82	48
63	83	47
64	85	45
65	86	44
66	87	42
67	88	41
68	89	40
69	90	38
70	91	37
71	92	35
72	93	34
73	94	33
74	95	31
75	96	30
76	97	29
77	98	27
78	99	26
79	100	25
80	101	23
81	101	22
82	102	21
83	103	19
84	104	18
85	105	17
86	106	15
87	107	14
88	108	13
89	109	12
90	110	10
91	111	9
92	112	8
93	113	7
94	114	6
95	115	4
96	116	3
97	117	2
98	118	1
99	119	0
