iter	Passed	Remaining
0	277	277340
1	279	139580
2	281	93572
3	283	70529
4	285	56746
5	287	47546
6	289	41070
7	291	36137
8	293	32283
9	295	29222
10	296	26691
11	298	24595
12	300	22815
13	303	21381
14	305	20055
15	307	18900
16	308	17867
17	313	17093
18	314	16257
19	317	15557
20	319	14885
21	320	14269
22	323	13721
23	324	13203
24	327	12787
25	329	12334
26	330	11923
27	332	11534
28	334	11185
29	335	10849
30	362	11345
31	371	11234
32	375	11008
33	380	10805
34	386	10669
35	388	10412
36	393	10236
37	395	10003
38	396	9773
39	399	9581
40	400	9378
41	402	9181
42	404	9003
43	408	8869
44	409	8695
45	412	8547
46	414	8408
47	416	8254
48	417	8105
49	418	7960
50	420	7820
51	421	7686
52	422	7555
53	424	7430
54	425	7311
55	427	7200
56	429	7102
57	430	6995
58	431	6888
59	433	6788
60	434	6692
61	436	6596
62	437	6505
63	438	6415
64	439	6327
65	444	6284
66	445	6208
67	447	6132
68	448	6056
69	450	5985
70	451	5914
71	453	5843
72	454	5776
73	458	5737
74	461	5687
75	469	5706
76	472	5659
77	475	5626
78	477	5567
79	478	5508
80	480	5448
81	482	5402
82	483	5340
83	487	5319
84	490	5276
85	493	5249
86	497	5216
87	498	5168
88	500	5119
89	503	5091
90	506	5054
91	507	5010
92	509	4967
93	511	4925
94	512	4881
95	513	4838
96	515	4796
97	519	4783
98	521	4744
99	522	4702
100	524	4666
101	525	4627
102	526	4588
103	528	4549
104	529	4513
105	534	4507
106	536	4479
107	539	4453
108	541	4422
109	542	4387
110	543	4353
111	544	4319
112	545	4285
113	548	4261
114	550	4233
115	551	4202
116	552	4170
117	553	4139
118	555	4112
119	557	4085
120	558	4058
121	559	4028
122	561	4003
123	564	3987
124	566	3962
125	567	3937
126	570	3919
127	571	3895
128	573	3871
129	574	3847
130	579	3845
131	581	3821
132	582	3797
133	586	3788
134	587	3766
135	589	3742
136	590	3719
137	595	3720
138	597	3697
139	598	3676
140	600	3656
141	600	3631
142	602	3608
143	603	3587
144	604	3566
145	606	3546
146	611	3549
147	613	3530
148	614	3509
149	616	3492
150	617	3474
151	619	3455
152	620	3435
153	624	3429
154	626	3413
155	627	3396
156	629	3378
157	630	3360
158	631	3342
159	633	3325
160	634	3305
161	635	3289
162	640	3290
163	642	3276
164	643	3258
165	645	3242
166	646	3224
167	647	3208
168	649	3191
169	651	3182
170	653	3168
171	654	3151
172	656	3136
173	657	3120
174	658	3104
175	659	3088
176	660	3073
177	664	3068
178	666	3057
179	667	3043
180	669	3028
181	670	3014
182	672	3000
183	673	2986
184	674	2972
185	675	2958
186	677	2944
187	679	2934
188	680	2921
189	682	2908
190	683	2895
191	685	2883
192	687	2872
193	689	2866
194	694	2867
195	699	2870
196	701	2859
197	705	2857
198	706	2845
199	709	2839
200	711	2828
201	712	2816
202	714	2806
203	716	2794
204	717	2782
205	727	2804
206	737	2825
207	746	2843
208	748	2833
209	750	2823
210	752	2815
211	754	2806
212	757	2797
213	759	2788
214	761	2779
215	763	2771
216	766	2767
217	769	2759
218	771	2751
219	773	2742
220	775	2734
221	777	2726
222	787	2743
223	800	2773
224	805	2775
225	808	2767
226	814	2773
227	816	2766
228	818	2757
229	821	2750
230	823	2742
231	826	2735
232	829	2729
233	831	2721
234	850	2769
235	856	2771
236	865	2786
237	868	2779
238	872	2777
239	875	2771
240	881	2776
241	903	2830
242	910	2837
243	913	2828
244	916	2825
245	928	2846
246	949	2895
247	954	2893
248	957	2887
249	959	2878
250	961	2869
251	965	2865
252	972	2871
253	975	2866
254	977	2857
255	981	2853
256	985	2850
257	987	2841
258	990	2832
259	992	2826
260	998	2828
261	1002	2823
262	1004	2814
263	1005	2804
264	1007	2794
265	1009	2784
266	1010	2775
267	1014	2771
268	1016	2761
269	1017	2752
270	1019	2742
271	1021	2732
272	1022	2722
273	1023	2712
274	1025	2702
275	1029	2699
276	1030	2690
277	1034	2686
278	1035	2676
279	1037	2668
280	1040	2661
281	1048	2670
282	1051	2663
283	1054	2657
284	1065	2672
285	1069	2670
286	1071	2662
287	1078	2665
288	1080	2658
289	1087	2663
290	1090	2656
291	1095	2657
292	1098	2649
293	1125	2702
294	1127	2695
295	1144	2722
296	1146	2714
297	1154	2718
298	1157	2714
299	1160	2707
300	1163	2700
301	1172	2710
302	1174	2702
303	1177	2696
304	1179	2688
305	1182	2682
306	1185	2675
307	1189	2673
308	1196	2676
309	1199	2670
310	1201	2662
311	1204	2655
312	1206	2647
313	1216	2657
314	1219	2652
315	1222	2647
316	1230	2650
317	1232	2643
318	1234	2636
319	1238	2631
320	1243	2631
321	1246	2623
322	1248	2617
323	1251	2610
324	1260	2617
325	1263	2611
326	1266	2606
327	1269	2601
328	1274	2598
329	1277	2593
330	1279	2585
331	1281	2577
332	1284	2571
333	1286	2565
334	1288	2557
335	1289	2549
336	1292	2542
337	1293	2533
338	1295	2525
339	1299	2521
340	1300	2513
341	1302	2505
342	1304	2499
343	1308	2496
344	1315	2496
345	1316	2488
346	1318	2480
347	1319	2473
348	1321	2465
349	1323	2458
350	1324	2449
351	1329	2446
352	1330	2438
353	1332	2430
354	1334	2425
355	1336	2418
356	1338	2410
357	1340	2403
358	1346	2403
359	1349	2399
360	1351	2392
361	1352	2384
362	1354	2376
363	1360	2377
364	1362	2370
365	1364	2362
366	1366	2356
367	1368	2350
368	1369	2342
369	1373	2338
370	1375	2331
371	1377	2324
372	1379	2318
373	1381	2312
374	1383	2305
375	1387	2303
376	1389	2296
377	1391	2289
378	1393	2282
379	1395	2276
380	1396	2269
381	1398	2261
382	1402	2258
383	1403	2252
384	1405	2244
385	1407	2238
386	1408	2231
387	1410	2224
388	1411	2217
389	1413	2210
390	1414	2203
391	1417	2197
392	1418	2191
393	1420	2184
394	1421	2177
395	1423	2171
396	1424	2164
397	1426	2157
398	1427	2150
399	1432	2148
400	1433	2141
401	1435	2135
402	1437	2129
403	1441	2125
404	1442	2119
405	1447	2117
406	1448	2111
407	1450	2104
408	1451	2097
409	1453	2091
410	1455	2085
411	1457	2079
412	1458	2073
413	1461	2068
414	1462	2062
415	1464	2056
416	1466	2050
417	1468	2044
418	1469	2038
419	1471	2032
420	1475	2028
421	1476	2022
422	1481	2020
423	1484	2016
424	1485	2010
425	1487	2004
426	1490	2000
427	1493	1995
428	1495	1990
429	1497	1985
430	1500	1980
431	1502	1975
432	1506	1972
433	1508	1967
434	1510	1961
435	1511	1955
436	1513	1950
437	1515	1944
438	1517	1939
439	1520	1935
440	1526	1934
441	1527	1928
442	1529	1922
443	1530	1917
444	1532	1911
445	1535	1907
446	1540	1905
447	1541	1899
448	1543	1893
449	1544	1887
450	1546	1882
451	1547	1876
452	1549	1870
453	1554	1868
454	1555	1863
455	1557	1857
456	1558	1852
457	1560	1846
458	1562	1841
459	1564	1836
460	1569	1835
461	1571	1830
462	1573	1824
463	1574	1819
464	1577	1815
465	1582	1812
466	1584	1808
467	1586	1802
468	1588	1798
469	1590	1793
470	1592	1788
471	1594	1783
472	1598	1780
473	1600	1775
474	1602	1771
475	1604	1766
476	1606	1761
477	1607	1755
478	1609	1750
479	1612	1747
480	1614	1742
481	1617	1738
482	1619	1733
483	1620	1727
484	1622	1722
485	1623	1717
486	1625	1712
487	1630	1710
488	1631	1705
489	1633	1699
490	1634	1694
491	1636	1689
492	1637	1684
493	1639	1679
494	1640	1673
495	1645	1672
496	1646	1666
497	1648	1661
498	1649	1656
499	1651	1651
500	1652	1645
501	1653	1640
502	1655	1635
503	1656	1630
504	1659	1626
505	1660	1621
506	1662	1616
507	1664	1612
508	1667	1608
509	1668	1603
510	1670	1598
511	1673	1595
512	1675	1590
513	1677	1585
514	1679	1581
515	1680	1576
516	1682	1571
517	1684	1567
518	1686	1562
519	1690	1560
520	1692	1556
521	1694	1551
522	1696	1546
523	1697	1542
524	1699	1537
525	1700	1532
